21:08:20.756 INFO [qtp1805067756-83]: Updated Metadata information for placement ( 1004 on 6 )
21:24:14.794 INFO [qtp1805067756-198]: Updated Metadata information for placement ( 1004 on 7 )
21:25:15.059 WARN [HttpDispatcher-124]: There is a running transaction associated with this connection org.polypheny.db.avatica.PolyphenyDbConnectionHandle@d1193eb9
21:25:15.059 WARN [HttpDispatcher-124]: Rollback transaction org.polypheny.db.transaction.TransactionImpl@8c686e11
21:25:29.617 INFO [pool-7-thread-1]: Queue --> 1 
21:25:29.689 INFO [pool-7-thread-1]: Queue --> 0 
21:25:29.824 INFO [pool-7-thread-1]: Queue --> 1 
21:25:29.890 INFO [pool-7-thread-1]: Queue --> 0 
21:25:30.077 INFO [pool-7-thread-1]: Queue --> 1 
21:25:30.177 INFO [pool-7-thread-1]: Queue --> 1 
21:25:30.257 INFO [pool-7-thread-1]: Queue --> 1 
21:25:30.319 INFO [pool-7-thread-1]: Queue --> 0 
21:25:30.468 INFO [pool-7-thread-1]: Queue --> 1 
21:25:30.534 INFO [pool-7-thread-1]: Queue --> 0 
21:25:30.703 INFO [pool-7-thread-1]: Queue --> 1 
21:25:30.767 INFO [pool-7-thread-1]: Queue --> 0 
21:25:30.922 INFO [pool-7-thread-1]: Queue --> 0 
21:25:31.086 INFO [pool-7-thread-1]: Queue --> 1 
21:25:31.180 INFO [pool-7-thread-1]: Queue --> 0 
21:25:31.304 INFO [pool-7-thread-1]: Queue --> 1 
21:25:31.373 INFO [pool-7-thread-1]: Queue --> 0 
21:25:31.495 INFO [pool-7-thread-1]: Queue --> 1 
21:25:31.562 INFO [pool-7-thread-1]: Queue --> 0 
21:25:31.691 INFO [pool-7-thread-1]: Queue --> 1 
21:25:31.757 INFO [pool-7-thread-1]: Queue --> 0 
21:25:31.882 INFO [pool-7-thread-1]: Queue --> 1 
21:25:31.975 INFO [pool-7-thread-1]: Queue --> 0 
21:25:32.128 INFO [pool-7-thread-1]: Queue --> 1 
21:25:32.173 INFO [pool-7-thread-1]: Queue --> 0 
21:25:32.296 INFO [pool-7-thread-1]: Queue --> 1 
21:25:32.359 INFO [pool-7-thread-1]: Queue --> 0 
21:25:32.519 INFO [pool-7-thread-1]: Queue --> 0 
21:25:32.582 INFO [pool-7-thread-1]: Queue --> 0 
21:25:32.720 INFO [pool-7-thread-1]: Queue --> 1 
21:25:32.781 INFO [pool-7-thread-1]: Queue --> 0 
21:25:32.906 INFO [pool-7-thread-1]: Queue --> 0 
21:25:33.078 INFO [pool-7-thread-1]: Queue --> 1 
21:25:33.168 INFO [pool-7-thread-1]: Queue --> 1 
21:25:33.248 INFO [pool-7-thread-1]: Queue --> 1 
21:25:33.311 INFO [pool-7-thread-1]: Queue --> 0 
21:25:33.500 INFO [pool-7-thread-1]: Queue --> 1 
21:25:33.591 INFO [pool-7-thread-1]: Queue --> 1 
21:25:33.668 INFO [pool-7-thread-1]: Queue --> 0 
21:25:33.729 INFO [pool-7-thread-1]: Queue --> 0 
21:25:33.891 INFO [pool-7-thread-1]: Queue --> 1 
21:25:33.953 INFO [pool-7-thread-1]: Queue --> 0 
21:25:34.125 INFO [pool-7-thread-1]: Queue --> 1 
21:25:34.214 INFO [pool-7-thread-1]: Queue --> 1 
21:25:34.295 INFO [pool-7-thread-1]: Queue --> 1 
21:25:34.356 INFO [pool-7-thread-1]: Queue --> 0 
21:25:34.526 INFO [pool-7-thread-1]: Queue --> 1 
21:25:34.615 INFO [pool-7-thread-1]: Queue --> 0 
21:25:34.699 INFO [pool-7-thread-1]: Queue --> 1 
21:25:34.761 INFO [pool-7-thread-1]: Queue --> 0 
21:25:34.960 INFO [pool-7-thread-1]: Queue --> 1 
21:25:35.057 INFO [pool-7-thread-1]: Queue --> 1 
21:25:35.147 INFO [pool-7-thread-1]: Queue --> 0 
21:25:35.201 INFO [pool-7-thread-1]: Queue --> 0 
21:25:35.402 INFO [pool-7-thread-1]: Queue --> 1 
21:25:35.470 INFO [pool-7-thread-1]: Queue --> 0 
21:25:35.619 INFO [pool-7-thread-1]: Queue --> 1 
21:25:35.713 INFO [pool-7-thread-1]: Queue --> 0 
21:25:35.839 INFO [pool-7-thread-1]: Queue --> 1 
21:25:35.934 INFO [pool-7-thread-1]: Queue --> 0 
21:25:35.991 INFO [pool-7-thread-1]: Queue --> 0 
21:25:36.219 INFO [pool-7-thread-1]: Queue --> 1 
21:25:36.317 INFO [pool-7-thread-1]: Queue --> 0 
21:25:36.438 INFO [pool-7-thread-1]: Queue --> 1 
21:25:36.521 INFO [pool-7-thread-1]: Queue --> 1 
21:25:36.614 INFO [pool-7-thread-1]: Queue --> 0 
21:25:36.798 INFO [pool-7-thread-1]: Queue --> 1 
21:25:36.895 INFO [pool-7-thread-1]: Queue --> 0 
21:25:37.020 INFO [pool-7-thread-1]: Queue --> 1 
21:25:37.092 INFO [pool-7-thread-1]: Queue --> 0 
21:25:37.148 INFO [pool-7-thread-1]: Queue --> 0 
21:25:37.342 INFO [pool-7-thread-1]: Queue --> 1 
21:25:37.435 INFO [pool-7-thread-1]: Queue --> 0 
21:25:37.521 INFO [pool-7-thread-1]: Queue --> 1 
21:25:37.584 INFO [pool-7-thread-1]: Queue --> 0 
21:25:37.784 INFO [pool-7-thread-1]: Queue --> 1 
21:25:37.880 INFO [pool-7-thread-1]: Queue --> 1 
21:25:37.975 INFO [pool-7-thread-1]: Queue --> 1 
21:25:38.077 INFO [pool-7-thread-1]: Queue --> 1 
21:25:38.164 INFO [pool-7-thread-1]: Queue --> 1 
21:25:38.229 INFO [pool-7-thread-1]: Queue --> 0 
21:25:38.379 INFO [pool-7-thread-1]: Queue --> 1 
21:25:38.442 INFO [pool-7-thread-1]: Queue --> 0 
21:25:38.634 INFO [pool-7-thread-1]: Queue --> 1 
21:25:38.725 INFO [pool-7-thread-1]: Queue --> 1 
21:25:38.824 INFO [pool-7-thread-1]: Queue --> 1 
21:25:38.895 INFO [pool-7-thread-1]: Queue --> 0 
21:25:39.112 INFO [pool-7-thread-1]: Queue --> 1 
21:25:39.213 INFO [pool-7-thread-1]: Queue --> 0 
21:25:39.339 INFO [pool-7-thread-1]: Queue --> 1 
21:25:39.434 INFO [pool-7-thread-1]: Queue --> 0 
21:25:39.487 INFO [pool-7-thread-1]: Queue --> 0 
21:25:39.684 INFO [pool-7-thread-1]: Queue --> 1 
21:25:39.782 INFO [pool-7-thread-1]: Queue --> 1 
21:25:39.855 INFO [pool-7-thread-1]: Queue --> 0 
21:25:39.908 INFO [pool-7-thread-1]: Queue --> 0 
21:25:40.039 INFO [pool-7-thread-1]: Queue --> 0 
21:25:40.213 INFO [pool-7-thread-1]: Queue --> 1 
21:25:40.287 INFO [pool-7-thread-1]: Queue --> 0 
21:25:40.444 INFO [pool-7-thread-1]: Queue --> 1 
21:25:40.516 INFO [pool-7-thread-1]: Queue --> 0 
21:25:40.658 INFO [pool-7-thread-1]: Queue --> 1 
21:25:40.720 INFO [pool-7-thread-1]: Queue --> 0 
21:25:40.915 INFO [pool-7-thread-1]: Queue --> 1 
21:25:41.013 INFO [pool-7-thread-1]: Queue --> 1 
21:25:41.103 INFO [pool-7-thread-1]: Queue --> 1 
21:25:41.181 INFO [pool-7-thread-1]: Queue --> 0 
21:25:41.272 INFO [pool-7-thread-1]: Queue --> 0 
21:25:41.371 INFO [pool-7-thread-1]: Queue --> 0 
21:25:41.518 INFO [pool-7-thread-1]: Queue --> 0 
21:25:41.749 INFO [pool-7-thread-1]: Queue --> 1 
21:25:41.849 INFO [pool-7-thread-1]: Queue --> 0 
21:25:41.966 INFO [pool-7-thread-1]: Queue --> 1 
21:25:42.050 INFO [pool-7-thread-1]: Queue --> 0 
21:25:42.148 INFO [pool-7-thread-1]: Queue --> 0 
21:25:42.252 INFO [pool-7-thread-1]: Queue --> 0 
21:25:42.416 INFO [pool-7-thread-1]: Queue --> 1 
21:25:42.478 INFO [pool-7-thread-1]: Queue --> 0 
21:25:42.616 INFO [pool-7-thread-1]: Queue --> 0 
